iter	Passed	Remaining
0	36	36927
1	72	36081
2	108	36018
3	142	35520
4	176	35031
5	208	34595
6	244	34645
7	278	34551
8	310	34244
9	343	34034
10	375	33803
11	409	33674
12	441	33516
13	476	33586
14	510	33499
15	542	33384
16	575	33271
17	607	33161
18	640	33073
19	672	32961
20	707	32976
21	739	32868
22	771	32791
23	804	32725
24	839	32739
25	871	32654
26	903	32570
27	940	32648
28	973	32579
29	1005	32525
30	1038	32456
31	1071	32420
32	1104	32352
33	1136	32284
34	1171	32291
35	1203	32230
36	1236	32172
37	1269	32149
38	1302	32084
39	1334	32033
40	1367	31988
41	1402	31982
42	1438	32005
43	1470	31950
44	1506	31961
45	1542	31988
46	1579	32021
47	1612	31991
48	1646	31964
49	1678	31897
50	1710	31836
51	1743	31787
52	1775	31727
53	1807	31667
54	1843	31679
55	1876	31625
56	1908	31575
57	1941	31530
58	1973	31469
59	2005	31419
60	2040	31405
61	2075	31398
62	2109	31377
63	2143	31343
64	2175	31291
65	2207	31241
66	2239	31192
67	2272	31152
68	2307	31132
69	2341	31109
70	2373	31061
71	2406	31013
72	2439	30972
73	2471	30921
74	2502	30869
75	2538	30868
76	2571	30823
77	2603	30774
78	2639	30770
79	2672	30729
80	2704	30684
81	2736	30640
82	2772	30626
83	2804	30582
84	2837	30540
85	2869	30492
86	2901	30447
87	2933	30404
88	2966	30366
89	3001	30350
90	3034	30310
91	3066	30264
92	3098	30222
93	3131	30181
94	3165	30151
95	3197	30106
96	3233	30104
97	3266	30065
98	3298	30022
99	3331	29982
100	3363	29940
101	3395	29895
102	3430	29874
103	3465	29858
104	3497	29815
105	3530	29773
106	3562	29735
107	3595	29694
108	3628	29657
109	3661	29622
110	3695	29600
111	3729	29571
112	3761	29529
113	3794	29491
114	3829	29469
115	3861	29429
116	3894	29392
117	3934	29409
118	3967	29371
119	3999	29330
120	4031	29289
121	4064	29248
122	4096	29206
123	4128	29166
124	4166	29163
125	4199	29130
126	4234	29110
127	4267	29071
128	4299	29030
129	4331	28990
130	4366	28963
131	4403	28954
132	4435	28913
133	4468	28878
134	4500	28839
135	4533	28798
136	4565	28759
137	4597	28720
138	4634	28706
139	4667	28668
140	4699	28627
141	4732	28595
142	4765	28556
143	4797	28517
144	4829	28477
145	4863	28449
146	4895	28409
147	4928	28370
148	4960	28332
149	4993	28294
150	5027	28266
151	5059	28229
152	5094	28200
153	5126	28163
154	5159	28126
155	5191	28088
156	5224	28055
157	5258	28025
158	5291	27990
159	5327	27966
160	5360	27934
161	5393	27897
162	5425	27860
163	5459	27831
164	5497	27822
165	5534	27807
166	5572	27793
167	5607	27769
168	5639	27731
169	5672	27694
170	5704	27655
171	5737	27617
172	5772	27592
173	5805	27557
174	5837	27520
175	5870	27484
176	5902	27445
177	5935	27409
178	5968	27374
179	6002	27344
180	6035	27307
181	6067	27270
182	6100	27235
183	6132	27196
184	6165	27160
185	6199	27132
186	6234	27105
187	6266	27067
188	6300	27033
189	6332	26998
190	6365	26962
191	6398	26927
192	6431	26890
193	6466	26865
194	6498	26828
195	6530	26790
196	6563	26753
197	6596	26717
198	6628	26681
199	6661	26644
200	6696	26618
201	6728	26580
202	6760	26543
203	6795	26515
204	6828	26479
205	6860	26443
206	6893	26407
207	6929	26383
208	6962	26349
209	6994	26313
210	7026	26275
211	7059	26241
212	7092	26204
213	7124	26167
214	7158	26138
215	7191	26102
216	7225	26071
217	7257	26034
218	7291	26001
219	7323	25963
220	7356	25929
221	7392	25907
222	7425	25871
223	7457	25835
224	7490	25800
225	7522	25762
226	7554	25726
227	7587	25692
228	7623	25666
229	7655	25630
230	7689	25598
231	7721	25562
232	7753	25524
233	7786	25490
234	7819	25453
235	7854	25426
236	7887	25393
237	7920	25357
238	7952	25321
239	7985	25287
240	8019	25256
241	8052	25221
242	8087	25195
243	8119	25158
244	8152	25124
245	8185	25090
246	8218	25055
247	8250	25018
248	8283	24983
249	8320	24960
250	8353	24926
251	8385	24890
252	8420	24861
253	8452	24824
254	8486	24793
255	8518	24757
256	8553	24727
257	8586	24695
258	8619	24659
259	8651	24622
260	8683	24585
261	8715	24550
262	8747	24514
263	8782	24485
264	8815	24449
265	8847	24413
266	8879	24377
267	8912	24342
268	8945	24309
269	8978	24273
270	9013	24245
271	9045	24210
272	9077	24174
273	9110	24138
274	9142	24102
275	9175	24068
276	9209	24036
277	9243	24006
278	9276	23971
279	9309	23938
280	9342	23903
281	9374	23867
282	9406	23831
283	9441	23801
284	9479	23782
285	9517	23759
286	9549	23724
287	9583	23693
288	9616	23659
289	9651	23628
290	9687	23602
291	9720	23569
292	9752	23533
293	9787	23502
294	9820	23468
295	9852	23431
296	9884	23396
297	9918	23365
298	9951	23330
299	9984	23297
300	10017	23262
301	10049	23226
302	10082	23192
303	10114	23157
304	10148	23125
305	10181	23092
306	10214	23056
307	10246	23021
308	10279	22987
309	10312	22953
310	10344	22918
311	10382	22893
312	10416	22863
313	10448	22827
314	10481	22792
315	10516	22763
316	10548	22727
317	10581	22693
318	10615	22661
319	10647	22626
320	10680	22591
321	10712	22555
322	10744	22520
323	10777	22486
324	10813	22458
325	10845	22423
326	10877	22387
327	10910	22352
328	10942	22317
329	10974	22282
330	11009	22250
331	11044	22221
332	11076	22186
333	11109	22152
334	11141	22117
335	11174	22083
336	11207	22048
337	11239	22013
338	11274	21982
339	11306	21947
340	11338	21911
341	11370	21876
342	11402	21841
343	11434	21806
344	11467	21771
345	11501	21739
346	11534	21705
347	11568	21673
348	11602	21643
349	11634	21607
350	11667	21572
351	11699	21538
